dataset,method,n,operator_accuracy,slot_accuracy,answer_type_accuracy,granularity_accuracy,reference_accuracy,tis_em,answer_em,answer_f1,answerable_rate,wrong_slot_rate,unsupported_rate,evaluator
cronquestion,full,972,0.2222222222222222,0.8672839506172839,0.9979423868312757,0.45987654320987653,0.8734567901234568,0.015432098765432098,0.9012345679012346,0.9012345679012346,0.9711934156378601,0.0,0.029835390946502057,gpt-4.1-mini
cronquestion,no_memory,972,0.31275720164609055,0.8065843621399177,1.0,0.7397119341563786,0.8858024691358025,0.09465020576131687,0.5833333333333334,0.6030480436344634,0.9423868312757202,0.00102880658436214,0.05761316872427984,gpt-4.1-mini
cronquestion,vanilla_rag,972,0.42901234567901236,0.7942386831275721,0.8786008230452675,0.338477366255144,0.8569958847736625,0.04938271604938271,0.581275720164609,0.6611841983236022,0.9382716049382716,0.0,0.06481481481481481,gpt-4.1-mini
cronquestion,relation_only,972,0.21707818930041153,0.8765432098765432,0.9979423868312757,0.448559670781893,0.8683127572016461,0.01131687242798354,0.8652263374485597,0.8652263374485597,0.9465020576131687,0.0,0.05452674897119342,gpt-4.1-mini
cronquestion,no_typed_placeholders,490,0.25918367346938775,0.8591836734693877,0.9979591836734694,0.3224489795918367,0.746938775510204,0.02040816326530612,0.9163265306122449,0.9163265306122449,0.9734693877551021,0.0,0.026530612244897958,gpt-4.1-mini
cronquestion,no_temporal_rule,298,0.3624161073825503,0.87248322147651,0.9966442953020134,0.2751677852348993,0.7583892617449665,0.03691275167785235,0.8993288590604027,0.8993288590604027,0.9798657718120806,0.0,0.020134228187919462,gpt-4.1-mini
cronquestion,no_leakage_check,298,0.3422818791946309,0.8523489932885906,0.9899328859060402,0.2651006711409396,0.761744966442953,0.026845637583892617,0.8926174496644296,0.8926174496644296,0.9731543624161074,0.0,0.026845637583892617,gpt-4.1-mini
cronquestion,no_draft_filtering,298,0.33557046979865773,0.8590604026845637,0.9899328859060402,0.26174496644295303,0.7651006711409396,0.030201342281879196,0.9026845637583892,0.9026845637583892,0.9731543624161074,0.0,0.026845637583892617,gpt-4.1-mini
multitq,full,1000,0.423,0.826,1.0,0.457,0.867,0.111,0.675,0.7395,0.868,0.0,0.137,gpt-4.1-mini
multitq,no_memory,1000,0.657,0.846,1.0,0.581,0.756,0.2,0.596,0.6672714285714286,0.874,0.0,0.13,gpt-4.1-mini
multitq,vanilla_rag,1000,0.135,0.837,0.908,0.569,0.661,0.052,0.595,0.6643976190476191,0.954,0.0,0.048,gpt-4.1-mini
multitq,relation_only,1000,0.439,0.866,1.0,0.439,0.898,0.138,0.6,0.6614047619047619,0.83,0.0,0.181,gpt-4.1-mini
multitq,no_typed_placeholders,500,0.47,0.838,1.0,0.492,0.8,0.126,0.62,0.728615873015873,0.87,0.0,0.136,gpt-4.1-mini
multitq,no_temporal_rule,300,0.44,0.82,1.0,0.49333333333333335,0.7766666666666666,0.11333333333333333,0.55,0.6906666666666667,0.8566666666666667,0.0,0.15666666666666668,gpt-4.1-mini
multitq,no_leakage_check,300,0.4666666666666667,0.82,1.0,0.5066666666666667,0.79,0.12,0.56,0.6952380952380953,0.86,0.0,0.14666666666666667,gpt-4.1-mini
multitq,no_draft_filtering,300,0.46,0.8133333333333334,1.0,0.49666666666666665,0.7833333333333333,0.13666666666666666,0.56,0.6896613756613756,0.8433333333333334,0.0,0.16333333333333333,gpt-4.1-mini
