question_id,dataset,method,gold_temporal_rule,gold_answer_type,gold_answer_slot,num_non_temporal_candidates,num_temporal_candidates,constraint_sensitive,trivial,sensitivity_reason,answer_em,answer_f1,answerable,unsupported,wrong_slot
10010,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,0,0.0,0,1,0
10028,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
10041,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
10077,CRONQUESTION,full,before_last,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
10119,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
10233,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
10298,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
10334,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
10354,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
10408,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
10427,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
1044,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
10541,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
10552,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
1065,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
10654,CRONQUESTION,full,last,time,time,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;multiple_time_answers,1,1.0,1,0,0
10660,CRONQUESTION,full,after_first,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
10668,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
1067,CRONQUESTION,full,plain,entity,target,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
1071,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
10748,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
10769,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
10809,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
10819,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
10875,CRONQUESTION,full,after_first,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
10899,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
10923,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
11001,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
11004,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
11044,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
11106,CRONQUESTION,full,before_last,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
1111,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
1112,CRONQUESTION,full,plain,entity,target,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
11154,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
11158,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
1116,CRONQUESTION,full,last,time,time,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;multiple_time_answers,1,1.0,1,0,0
11227,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
1123,CRONQUESTION,full,last,time,time,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;multiple_time_answers,1,1.0,1,0,0
11280,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
11302,CRONQUESTION,full,after_first,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
11319,CRONQUESTION,full,after_first,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
11383,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
11390,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
11435,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
11437,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
11502,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
11530,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
1168,CRONQUESTION,full,last,time,time,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;multiple_time_answers,0,0.0,1,0,0
11689,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
1183,CRONQUESTION,full,last,time,time,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;multiple_time_answers,1,1.0,1,0,0
11835,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
11844,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
11889,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
11891,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
11908,CRONQUESTION,full,before_last,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
11909,CRONQUESTION,full,before_last,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
11929,CRONQUESTION,full,before_last,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
11946,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
11964,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
12044,CRONQUESTION,full,after_first,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
12066,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
12078,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,0,0.0,0,1,0
12112,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
12121,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
12157,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
12175,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,0,0.0,0,1,0
12176,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
12249,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
12266,CRONQUESTION,full,after_first,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,0,0.0,0,1,0
12281,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
12289,CRONQUESTION,full,before_last,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
12298,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
